 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
          5026 ┊     0.08% ┊ <leptos_dom::components::dyn_child::DynChild<CF,N> as leptos_dom::IntoView>::into_view::hbe65a461aa2fdfd5
          4720 ┊     0.07% ┊ <leptos_reactive::effect::EffectState<T,F> as leptos_reactive::effect::AnyComputation>::run::hdb8777a8647d202b
          4667 ┊     0.07% ┊ leptos_reactive::runtime::Runtime::cleanup_property::h2b32ca58873c3749
          4585 ┊     0.07% ┊ <leptos_reactive::effect::EffectState<T,F> as leptos_reactive::effect::AnyComputation>::run::h6c9ec094cbe7c03b
          4540 ┊     0.07% ┊ <leptos_reactive::signal_wrappers_read::Signal<T> as leptos_reactive::signal::SignalGet>::get::ha52c2642a5f535e8
          4396 ┊     0.07% ┊ <leptos_reactive::signal_wrappers_read::Signal<T> as leptos_reactive::signal::SignalGet>::get::h167f82837fefbd54
          4396 ┊     0.07% ┊ <leptos_reactive::signal_wrappers_read::Signal<T> as leptos_reactive::signal::SignalGet>::get::h1d9a8c6b0fbfaabd
          4396 ┊     0.07% ┊ <leptos_reactive::signal_wrappers_read::Signal<T> as leptos_reactive::signal::SignalGet>::get::h202ba93c199a019b
          4396 ┊     0.07% ┊ <leptos_reactive::signal_wrappers_read::Signal<T> as leptos_reactive::signal::SignalGet>::get::h32072df1583eef5e
          4396 ┊     0.07% ┊ <leptos_reactive::signal_wrappers_read::Signal<T> as leptos_reactive::signal::SignalGet>::get::h6fb8698273ace9f5
          4396 ┊     0.07% ┊ <leptos_reactive::signal_wrappers_read::Signal<T> as leptos_reactive::signal::SignalGet>::get::he38791e2c6fabdeb
          4342 ┊     0.06% ┊ dlmalloc::dlmalloc::Dlmalloc<A>::malloc::hd804fcee5a0c2b0b
          4253 ┊     0.06% ┊ <leptos_reactive::memo::Memo<T> as leptos_reactive::signal::SignalWith>::with::h00c461c51c828e04
          4253 ┊     0.06% ┊ <leptos_reactive::memo::Memo<T> as leptos_reactive::signal::SignalWith>::with::h6d090a849cfc3c93
          4253 ┊     0.06% ┊ <leptos_reactive::memo::Memo<T> as leptos_reactive::signal::SignalWith>::with::h6d75b4c3ccf9028b
          4253 ┊     0.06% ┊ <leptos_reactive::memo::Memo<T> as leptos_reactive::signal::SignalWith>::with::h89c24af4092b352d
          4253 ┊     0.06% ┊ <leptos_reactive::memo::Memo<T> as leptos_reactive::signal::SignalWith>::with::h90e3801331a713a5
          4253 ┊     0.06% ┊ <leptos_reactive::memo::Memo<T> as leptos_reactive::signal::SignalWith>::with::hfb6a54c6017e6d79
          4210 ┊     0.06% ┊ <leptos_reactive::memo::Memo<T> as leptos_reactive::signal::SignalWith>::with::h60dcf2ae3e11590c
          4165 ┊     0.06% ┊ leptos_dom::mount_to_with_stop_hydrating::hfc38e2a4ff6a687d
          4114 ┊     0.06% ┊ leptos_dom::mount_child::h000fccd18062d948
          3670 ┊     0.05% ┊ <leptos_dom::components::dyn_child::DynChild<CF,N> as leptos_dom::IntoView>::into_view::{{closure}}::h0ebb26a1cb14886b
          3670 ┊     0.05% ┊ <leptos_dom::components::dyn_child::DynChild<CF,N> as leptos_dom::IntoView>::into_view::{{closure}}::h2fdc6e19248a4931
          3670 ┊     0.05% ┊ <leptos_dom::components::dyn_child::DynChild<CF,N> as leptos_dom::IntoView>::into_view::{{closure}}::h5413eec33a26300e
          3670 ┊     0.05% ┊ <leptos_dom::components::dyn_child::DynChild<CF,N> as leptos_dom::IntoView>::into_view::{{closure}}::h824e41732935d40f
          3670 ┊     0.05% ┊ <leptos_dom::components::dyn_child::DynChild<CF,N> as leptos_dom::IntoView>::into_view::{{closure}}::h9c08bc0a59c0a904
          3670 ┊     0.05% ┊ <leptos_dom::components::dyn_child::DynChild<CF,N> as leptos_dom::IntoView>::into_view::{{closure}}::hb6f0d0c26d6c55d0
          3665 ┊     0.05% ┊ <leptos_reactive::signal_wrappers_read::MaybeSignal<T> as leptos_reactive::signal::SignalGet>::get::hb75cae072febb808
          3594 ┊     0.05% ┊ simple_app::main::{{closure}}::h50214d595281a39b
          3557 ┊     0.05% ┊ <leptos_reactive::signal_wrappers_read::MaybeSignal<T> as leptos_reactive::signal::SignalGet>::get::h0a09d4d1fedbbd48
          3557 ┊     0.05% ┊ <leptos_reactive::signal_wrappers_read::MaybeSignal<T> as leptos_reactive::signal::SignalGet>::get::h92165c138a66278b
          3557 ┊     0.05% ┊ <leptos_reactive::signal_wrappers_read::MaybeSignal<T> as leptos_reactive::signal::SignalGet>::get::hb000a92385eaa75b
          3557 ┊     0.05% ┊ <leptos_reactive::signal_wrappers_read::MaybeSignal<T> as leptos_reactive::signal::SignalGet>::get::hb63844d6e8a47d2b
          3557 ┊     0.05% ┊ <leptos_reactive::signal_wrappers_read::MaybeSignal<T> as leptos_reactive::signal::SignalGet>::get::hd49dde54c97c6cd0
          3557 ┊     0.05% ┊ <leptos_reactive::signal_wrappers_read::MaybeSignal<T> as leptos_reactive::signal::SignalGet>::get::hda0a09e734b4f8de
          3527 ┊     0.05% ┊ leptos_dom::html::div::h0d566c85c9d55233
